PGC	GEN	BEZ
Görlitz	Görlitz	Landkreis
Goslar (Lkr)	Goslar	Landkreis
Gotha (Lkr)	Gotha	Landkreis
Göttingen (Lkr)	Göttingen	Landkreis
Grafschaft Bentheim (Lkr)	Grafschaft Bentheim	Landkreis
Greiz	Greiz	Landkreis
Groß-Gerau (Kr)	Groß-Gerau	Landkreis
Günzburg (Lkr)	Günzburg	Landkreis
Gütersloh (Kr)	Gütersloh	Kreis
Hagen	Hagen	Kreisfreie Stadt
Halle (Saale)	Halle (Saale)	Kreisfreie Stadt
Hamburg	Hamburg	Kreisfreie Stadt
Hameln-Pyrmont (Lkr)	Hameln-Pyrmont	Landkreis
Hamm	Hamm	Kreisfreie Stadt
Harburg	Harburg	Landkreis
Harz (Lkr)	Harz	Landkreis
Haßberge (Lkr)	Haßberge	Landkreis
Havelland	Havelland	Landkreis
Heidekreis	Heidekreis	Landkreis
Heidelberg	Heidelberg	Stadtkreis
Heidenheim (Lkr)	Heidenheim	Landkreis
Heilbronn	Heilbronn	Stadtkreis
Heilbronn (Lkr)	Heilbronn	Landkreis
Heinsberg (Kr)	Heinsberg	Kreis
Helmstedt (Lkr)	Helmstedt	Landkreis
Herford (Kr)	Herford	Kreis
Herne	Herne	Kreisfreie Stadt
Hersfeld-Rotenburg (Lkr)	Hersfeld-Rotenburg	Landkreis
Herzogtum Lauenburg	Herzogtum Lauenburg	Kreis
Hildburghausen (Lkr)	Hildburghausen	Landkreis
Hildesheim (Lkr)	Hildesheim	Landkreis
Hochsauerlandkreis	Hochsauerlandkreis	Kreis
Hochtaunuskreis	Hochtaunuskreis	Landkreis
Hof	Hof	Kreisfreie Stadt
Hof (Lkr)	Hof	Landkreis
Hohenlohekreis	Hohenlohekreis	Landkreis
Holzminden (Lkr)	Holzminden	Landkreis
Höxter (Kr)	Höxter	Kreis
Ilm-Kreis	Ilm-Kreis	Landkreis
Ingolstadt	Ingolstadt	Kreisfreie Stadt
Jena	Jena	Kreisfreie Stadt
Jerichower Land	Jerichower Land	Landkreis
Kaiserslautern	Kaiserslautern	Kreisfreie Stadt
Kaiserslautern (Lkr)	Kaiserslautern	Landkreis
Karlsruhe	Karlsruhe	Stadtkreis
Karlsruhe (Lkr)	Karlsruhe	Landkreis
Kassel	Kassel	Kreisfreie Stadt
Kassel (Lkr)	Kassel	Landkreis
Kaufbeuren	Kaufbeuren	Kreisfreie Stadt
Kelheim (Lkr)	Kelheim	Landkreis
Kempten (Allgäu)	Kempten (Allgäu)	Kreisfreie Stadt
Kiel	Kiel	Kreisfreie Stadt
Kitzingen (Lkr)	Kitzingen	Landkreis
Kleve (Kr)	Kleve	Kreis
Koblenz	Koblenz	Kreisfreie Stadt
Köln	Köln	Kreisfreie Stadt
Konstanz (Lkr)	Konstanz	Landkreis
Krefeld	Krefeld	Kreisfreie Stadt
Kronach (Lkr)	Kronach	Landkreis
Kulmbach (Lkr)	Kulmbach	Landkreis
Kusel (Lkr)	Kusel	Landkreis
Kyffhäuserkreis	Kyffhäuserkreis	Landkreis
Lahn-Dill-Kreis	Lahn-Dill-Kreis	Landkreis
Landau in der Pfalz	Landau in der Pfalz	Kreisfreie Stadt
Landsberg am Lech (Lkr)	Landsberg am Lech	Landkreis
Landshut	Landshut	Kreisfreie Stadt
Landshut (Lkr)	Landshut	Landkreis
Leer (Lkr)	Leer	Landkreis
Leipzig	Leipzig	Kreisfreie Stadt
Leipzig (Lkr)	Leipzig	Landkreis
Leverkusen	Leverkusen	Kreisfreie Stadt
Lichtenfels (Lkr)	Lichtenfels	Landkreis
Limburg-Weilburg (Lkr)	Limburg-Weilburg	Landkreis
Lindau (Lkr)	Lindau (Bodensee)	Landkreis
Lippe (Kr)	Lippe	Kreis
Lörrach (Lkr)	Lörrach	Landkreis
Lübeck	Lübeck	Kreisfreie Stadt
Lüchow-Dannenberg	Lüchow-Dannenberg	Landkreis
Ludwigsburg (Lkr)	Ludwigsburg	Landkreis
Ludwigshafen am Rhein	Ludwigshafen am Rhein	Kreisfreie Stadt
Ludwigslust-Parchim	Ludwigslust-Parchim	Landkreis
Lüneburg	Lüneburg	Landkreis
Magdeburg	Magdeburg	Kreisfreie Stadt
Main-Kinzig-Kreis	Main-Kinzig-Kreis	Landkreis
Main-Spessart (Lkr)	Main-Spessart	Landkreis
Main-Tauber-Kreis	Main-Tauber-Kreis	Landkreis
Main-Taunus-Kreis	Main-Taunus-Kreis	Landkreis
Mainz	Mainz	Kreisfreie Stadt
Mainz-Bingen (Lkr)	Mainz-Bingen	Landkreis
Mannheim	Mannheim	Stadtkreis
Mansfeld-Südharz	Mansfeld-Südharz	Landkreis
Marburg-Biedenkopf (Lkr)	Marburg-Biedenkopf	Landkreis
Märkischer Kreis	Märkischer Kreis	Kreis
Märkisch-Oderland	Märkisch-Oderland	Landkreis
Mayen-Koblenz (Lkr)	Mayen-Koblenz	Landkreis
Mecklenburgische Seenplatte	Mecklenburgische Seenplatte	Landkreis
Meißen	Meißen	Landkreis
Memmingen	Memmingen	Kreisfreie Stadt
Merzig-Wadern (Lkr)	Merzig-Wadern	Landkreis
Mettmann (Kr)	Mettmann	Kreis
Miesbach (Lkr)	Miesbach	Landkreis
Miltenberg (Lkr)	Miltenberg	Landkreis
Minden-Lübbecke (Kr)	Minden-Lübbecke	Kreis
Mittelsachsen	Mittelsachsen	Landkreis
Mönchengladbach	Mönchengladbach	Kreisfreie Stadt
Mühldorf am Inn (Lkr)	Mühldorf a. Inn	Landkreis
Mülheim an der Ruhr	Mülheim an der Ruhr	Kreisfreie Stadt
München	München	Kreisfreie Stadt
München (Lkr)	München	Landkreis
Münster	Münster	Kreisfreie Stadt
Neckar-Odenwald-Kreis	Neckar-Odenwald-Kreis	Landkreis
Neuburg-Schrobenhausen (Lkr)	Neuburg-Schrobenhausen	Landkreis
Neumarkt in der Oberpfalz (Lkr)	Neumarkt i.d. OPf.	Landkreis
Neumünster	Neumünster	Kreisfreie Stadt
Neunkirchen (Lkr)	Neunkirchen	Landkreis
Neustadt an der Aisch-Bad Windsheim (Lkr)	Neustadt a.d. Aisch-Bad Windsheim	Landkreis
Neustadt an der Waldnaab (Lkr)	Neustadt a.d. Waldnaab	Landkreis
Neustadt an der Weinstraße	Neustadt an der Weinstraße	Kreisfreie Stadt
Neu-Ulm (Lkr)	Neu-Ulm	Landkreis
Neuwied (Lkr)	Neuwied	Landkreis
Nienburg/Weser (Lkr)	Nienburg (Weser)	Landkreis
Nordfriesland	Nordfriesland	Kreis
Nordhausen (Lkr)	Nordhausen	Landkreis
Nordsachsen	Nordsachsen	Landkreis
Nordwestmecklenburg	Nordwestmecklenburg	Landkreis
Northeim (Lkr)	Northeim	Landkreis
Nürnberg	Nürnberg	Kreisfreie Stadt
